a,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
52183570,Phaedrus Living: Modern Kriel Suites 003,93691539,Phaedrus Living,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99216,23.76755,Entire home/apt,49,1,2,11-10-2021,0.73,16,344,2,1348930
52183781,Superior Triple Studio | Street View,244702293,Enattica Syntagma,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97521,23.73389,Private room,104,1,0,,,5,365,0,1152259
52183842,Phaedrus Living: Executive Kriel Suites 101,93691539,Phaedrus Living,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99165,23.76735,Entire home/apt,41,1,3,06-12-2021,1.64,16,358,3,1348993
52183954,Phaedrus Living: Modern Kriel Suites 103,93691539,Phaedrus Living,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99218,23.76544,Entire home/apt,34,1,1,09-12-2021,1,16,365,1,1349013
52184040,Phaedrus Living: Deluxe Kriel Suites 102,93691539,Phaedrus Living,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99036,23.76693,Entire home/apt,36,1,2,05-12-2021,0.74,16,356,2,1348988
52184098,Phaedrus Living: Executive Kriel Suites 201,93691539,Phaedrus Living,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99161,23.76767,Entire home/apt,49,1,3,15-12-2021,3,16,355,3,1349029
52184177,Phaedrus Living: Luxury Kriel Suites 202,93691539,Phaedrus Living,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99034,23.76693,Entire home/apt,33,1,4,22-12-2021,2.03,16,365,4,1349055
52184258,Phaedrus Living: Modern Kriel Suites 203,93691539,Phaedrus Living,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99208,23.76534,Entire home/apt,43,1,1,13-10-2021,0.42,16,175,1,1349008
52184303,Phaedrus Living: Modern Kriel Suites 204,93691539,Phaedrus Living,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99005,23.76591,Entire home/apt,44,1,2,19-11-2021,1.13,16,362,2,1349060
52184382,Phaedrus Living: Executive Kriel Suites 301,93691539,Phaedrus Living,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99044,23.76537,Entire home/apt,49,1,2,07-12-2021,2,16,359,2,1349040
52184428,Phaedrus Living: Luxury Kriel Suites 302,93691539,Phaedrus Living,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99038,23.76729,Entire home/apt,46,1,2,05-12-2021,1.22,16,361,2,1349076
52184469,Phaedrus Living: Modern Kriel Suites 303,93691539,Phaedrus Living,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99226,23.76674,Entire home/apt,36,1,1,16-12-2021,1,16,364,1,1349109
